"recording_name","num_indiv_present","num_manx_present","num_main_indiv","num_main_bg","num_noise","num_blank","num_oversep","num_undersep","time_overlap","freq_overlap","birdnet_manx_present","comp_score","full_sep","half_sep","full_partial_sep","full_clean_sep","half_clean_sep","half_partial_sep","max_audibility","max_completeness","num_indiv_separated","birdnet_after_sep"
"OL10_20230607_005500-12",1,3,1,1,2,0,2,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1
"OL10_20230607_005500-26",2,4,2,1,3,0,2,1,1,1,1,0,1,0,1,0,0,0,5,2,2,1
"OL10_20230607_005500-31",1,3,1,1,3,0,3,1,0,0,1,1,1,0,1,0,0,0,2,1,1,1
"OL10_20230607_005500-44",2,4,2,1,4,0,2,3,1,1,1,2,1,0,1,0,0,0,4,2,2,1
"OL10_20230607_005500-56",3,3,1,1,4,0,1,3,0,1,1,0,0,1,0,0,0,1,3,1,1,1
"OL10_20230607_005500-6",1,2,1,1,4,0,2,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0
"OL10_20230607_005500-60",1,2,1,1,2,0,2,0,0,0,1,1,1,0,1,0,0,0,2,1,1,1
"OL10_20230607_005500-71",2,2,0,2,4,0,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"OL10_20230607_005500-80",2,2,2,1,3,0,2,2,0,0,0,0,1,0,1,0,0,0,3,1,2,0
"OL10_20230607_005500-81",2,4,2,1,4,0,2,3,1,1,1,1,1,0,1,0,0,0,2,1,2,1
"OL10_20230607_005500-82",1,2,1,1,4,0,2,0,0,0,1,1,1,0,1,0,0,0,3,1,1,0
"OL10_20230607_005500-9",1,4,1,1,4,0,3,2,0,0,1,1,1,0,1,0,0,0,2,1,1,1
"OL10_20230610_021500-10",2,4,2,1,4,0,0,1,1,1,1,0,1,0,1,0,0,0,3,0,2,1
"OL10_20230610_021500-18",2,2,1,1,4,0,2,2,1,1,1,0,0,1,0,0,0,1,3,1,1,1
"OL10_20230610_021500-22",2,4,0,1,4,0,3,4,1,1,1,0,0,0,0,0,0,0,4,2,0,0
"OL10_20230610_021500-40",2,4,1,1,4,0,3,4,1,1,1,1,0,1,0,0,0,1,3,1,1,1
"OL10_20230610_021500-52",2,4,0,1,4,0,3,2,1,1,1,2,0,0,0,0,0,0,4,2,0,0
"OL10_20230610_021500-59",2,3,2,1,3,0,3,1,1,1,0,1,1,0,1,0,0,0,2,1,2,0
"OL10_20230610_021500-64",2,3,2,1,4,0,3,4,1,1,1,2,1,0,1,0,0,0,3,2,2,1
"OL10_20230610_021500-70",2,2,1,1,4,0,1,1,1,1,1,1,0,1,0,0,0,1,2,1,1,1
"OL10_20230610_021500-73",2,4,2,1,4,0,2,2,1,1,1,0,1,0,1,0,0,0,2,1,2,1
"OL10_20230610_021500-80",2,4,2,1,4,0,2,2,1,1,1,2,1,0,1,0,0,0,3,2,2,1
"OL10_20230610_021500-84",2,3,2,1,4,0,2,0,1,0,1,1,1,0,1,0,0,0,3,1,2,1
"OL10_20230610_021500-9",2,4,1,1,4,0,3,0,1,1,1,1,0,1,0,0,0,1,3,1,1,0
"OL1_20230613_011000-10",2,2,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0
"OL1_20230613_011000-41",1,4,1,1,1,0,3,1,0,0,1,1,1,0,1,0,0,0,4,1,1,0
"OL1_20230613_011000-42",1,3,1,1,2,0,2,1,0,0,0,2,1,0,1,0,0,0,6,2,1,0
"OL1_20230613_011000-58",2,4,2,1,2,0,3,2,1,1,1,1,1,0,1,0,0,0,5,2,2,1
"OL1_20230613_011000-6",1,1,1,1,3,0,0,0,0,0,1,2,1,0,0,1,0,0,2,2,1,1
"OL1_20230613_011000-66",1,3,1,1,1,0,3,0,0,0,1,1,1,0,1,0,0,0,2,1,1,1
"OL1_20230613_011000-79",1,3,1,1,2,0,2,1,0,0,1,1,1,0,1,0,0,0,2,1,1,0
