Recording_ID,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
800754,Puffinus,puffinus,,birds,Manx Shearwater,Sven Normant,France,Kerlouan,48.6417,-4.4059,10,song,,,field recording,//xeno-canto.org/800754,https://xeno-canto.org/800754/download,XC800754-Puffin_des_anglais_Puffinus_puffinus_song_Kerlouan.wav,"{'small': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/ffts/XC800754-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/ffts/XC800754-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/ffts/XC800754-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/ffts/XC800754-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/wave/XC800754-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/wave/XC800754-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MPDFSJHTXH/wave/XC800754-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:16,00:30,12/05/2023,12/05/2023,[],Unexpected record! The bird past by again 2 minutes later.,no,no,no,,,yes,,,48000
748790,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Tristan Guillebot de Nerville,France,"Arrondissement de Brest (near  Le Conquet), Finistere, Brittany",48.4277,-5.0128,0,song,uncertain,adult,field recording,//xeno-canto.org/748790,https://xeno-canto.org/748790/download,XC748790-Puffin_des_anglais_cri_vol_nuptiaux_Banneg_01h35_03_08_2022_for_XC.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC748790-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC748790-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC748790-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC748790-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/wave/XC748790-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/wave/XC748790-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/wave/XC748790-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,06:40,01:35,03/08/2022,17/09/2022,[],,no,no,no,,,no,,,44100
746587,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Shaun Micklewright,United Kingdom,"Lunga, Treshnish Isles",56.4919,-6.4192,40,"call, nocturnal flight call",uncertain,adult,field recording,//xeno-canto.org/746587,https://xeno-canto.org/746587/download,XC746587-MANX3.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746587-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746587-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746587-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746587-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC746587-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC746587-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC746587-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:54,01:30,30/06/2022,02/09/2022,['Gallinago gallinago'],"None modified. Birds coming into burrows directly from the sea. Distant chipping call of Common Snipe . Fairley calm night. Recorded with a Olympus WS-852 hand held recorder.

",yes,yes,no,,,no,,,44100
746585,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Shaun Micklewright,United Kingdom,"Lunga, Treshnish Isles",56.4919,-6.4192,40,"call, nocturnal flight call",uncertain,adult,field recording,//xeno-canto.org/746585,https://xeno-canto.org/746585/download,XC746585-MANX1.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746585-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746585-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746585-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/ffts/XC746585-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC746585-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC746585-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OBYJMMWCHG/wave/XC746585-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:51,01:30,30/06/2022,02/09/2022,['Hydrobates pelagicus'],None modified. Birds coming into burrows directly from the sea. Storm petrel singing from walls of abandoned building. Fairley calm night. Recorded with a Olympus WS-852 hand held recorder.,yes,yes,no,,,no,,,44100
745967,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Sean Morris,United Kingdom,"Rùm, Highland Council, Scotland",57.0161,-6.2787,10,nocturnal flight call,uncertain,adult,field recording,//xeno-canto.org/745967,https://xeno-canto.org/745967/download,XC745967-manxie 30 august 2022 2248.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC745967-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC745967-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC745967-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC745967-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/wave/XC745967-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/wave/XC745967-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/wave/XC745967-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:20,22:48,30/08/2022,31/08/2022,[],,no,no,no,,,no,,,48000
741399,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Sean Morris,United Kingdom,"Rùm, Highland Council, Scotland",57.0161,-6.2787,10,nocturnal flight call,uncertain,adult,field recording,//xeno-canto.org/741399,https://xeno-canto.org/741399/download,XC741399-manxie 4 august 2022 0331.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC741399-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC741399-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC741399-large.png', 'full': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC741399-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/wave/XC741399-small.png', 'med': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/wave/XC741399-med.png', 'large': '//xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/wave/XC741399-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:26,03:31,04/08/2022,04/08/2022,['Anser anser'],,no,no,no,,,no,,,48000
741301,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Michał Jezierski,United Kingdom,"The Observatory, Skokholm, Pembrokeshire, Wales",51.6992,-5.2741,40,call,,,field recording,//xeno-canto.org/741301,https://xeno-canto.org/741301/download,XC741301-220718_pufpuf_call.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC741301-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC741301-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC741301-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC741301-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/wave/XC741301-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/wave/XC741301-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GPXJQQOAML/wave/XC741301-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:21,02:48,18/07/2022,02/08/2022,['Larus argentatus'],"Autonomous recording, recorder left in bracken. No edits.",no,no,no,,,no,,,44100
736662,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Andrew Harrop,United Kingdom,"Aberdaron, Gwynedd, Wales",52.7667,-4.787,20,call,,adult,field recording,//xeno-canto.org/736662,https://xeno-canto.org/736662/download,XC736662-220707-MS4 clip.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736662-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736662-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736662-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736662-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736662-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736662-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736662-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:13,01:00,08/07/2022,10/07/2022,[],"Calls from birds in burrows; on a night with a bright half moon, calling began about 01.00 and ended about 02.00.",yes,yes,no,,,no,,,44100
736661,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Andrew Harrop,United Kingdom,"Aberdaron, Gwynedd, Wales",52.7667,-4.787,20,call,,adult,field recording,//xeno-canto.org/736661,https://xeno-canto.org/736661/download,XC736661-220707-MS2 clip.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736661-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736661-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736661-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736661-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736661-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736661-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736661-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:39,01:00,08/07/2022,10/07/2022,[],"Calls from birds in burrows; on a night with a bright half moon, calling began about 01.00 and ended about 02.00.",yes,yes,no,,,no,,,44100
736660,Puffinus,puffinus,puffinus,birds,Manx Shearwater,Andrew Harrop,United Kingdom,"Aberdaron, Gwynedd, Wales",52.7667,-4.787,20,call,,adult,field recording,//xeno-canto.org/736660,https://xeno-canto.org/736660/download,XC736660-220707-MS clip.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736660-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736660-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736660-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC736660-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736660-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736660-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HNYFHZLJOD/wave/XC736660-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,00:17,01:00,08/07/2022,10/07/2022,[],"Calls from birds in burrows; on a night with a bright half moon, calling began about 01.00 and ended about 02.00. ",yes,yes,no,,,no,,,44100
